-650 -331 0 340 1 1
-650 -340 752 328 1 1
-639 -340 352 328 1 1
-628 -340 341 328 1 1
-617 -340 330 328 1 1
-605 -340 319 328 1 1
-594 -340 308 328 1 1
-583 -340 297 328 1 1
-571 -340 286 328 1 1
-560 -340 275 328 1 1
-549 -340 264 328 1 1
-537 -340 253 328 1 1
-526 -340 242 328 1 1
-515 -340 231 328 1 1
-503 -340 220 328 1 1
-492 -340 209 328 1 1
-481 -340 198 328 1 1
-469 -340 187 328 1 1
-458 -340 177 328 1 1
-447 -340 166 328 1 1
-435 -340 155 328 1 1
-424 -340 144 328 1 1
-413 -340 133 328 1 1
-401 -340 122 328 1 1
-390 -340 111 328 1 1
-379 -340 100 328 1 1
-367 -340 89 328 1 1
-356 -340 78 328 1 1
-345 -340 67 328 1 1
-333 -340 56 328 1 1
-312 -340 45 328 1 0
-291 -340 34 328 1 0
-269 -340 23 328 1 0
-248 -340 13 328 1 0
-227 -340 2 328 1 0
-205 -340 -9 328 1 0
-184 -340 -20 328 1 0
-183 -340 -31 328 1 0
-181 -340 -31 328 1 0
-180 -396 752 342 1 0
-179 -396 352 342 1 0
-176 -396 340 342 1 0
-172 -396 329 342 1 0
-169 -396 317 342 1 1
-156 -396 306 342 1 1
-143 -396 295 342 0 1
-130 -396 275 342 0 1
-116 -396 256 342 0 1
-103 -396 239 342 0 1
-90 -396 222 342 0 1
-77 -396 206 342 0 1
-64 -396 191 342 0 1
-50 -396 177 342 0 1
-37 -396 163 342 0 1
-24 -396 151 342 0 1
-11 -396 139 342 0 1
2 -396 129 342 0 1
16 -396 119 342 0 1
29 -396 110 342 0 1
42 -396 102 342 0 1
50 -396 95 342 0 1
-650 -400 89 303 0 1
-650 -400 84 303 0 1
-637 -400 81 303 0 1
-624 -400 78 303 1 1
-610 -400 70 303 1 1
-597 -400 60 303 1 1
-574 -400 50 303 1 0
-550 -400 40 303 1 0
-527 -400 30 303 1 0
-504 -400 20 303 1 0
-480 -400 10 303 1 0
-457 -400 0 303 1 0
-434 -400 -10 303 1 0
-430 -400 -21 303 1 0
-427 -400 -31 303 1 0
-424 -400 -31 303 1 0
-420 -358 752 371 1 0
-417 -358 352 371 1 0
-415 -358 339 371 1 0
-413 -358 327 371 1 1
-401 -358 314 371 1 1
-389 -358 302 371 1 1
-377 -358 290 371 1 1
-366 -358 277 371 1 1
-354 -358 265 371 1 1
-342 -358 253 371 1 1
